Reference,B (m),qnet (kPa),NSPT,L/B,Df/B,Sm (mm)
"Burland and Burbidge (1982, 1985)",20,4.6,1.6,0.5,113,5.1
"Burland and Burbidge (1982, 1985)",20,3.7,1.6,0.49,139,7.4
"Burland and Burbidge (1982, 1985)",30,6,2.7,0.6,162,11
"Burland and Burbidge (1982, 1985)",6,0.9,1,1,113,6.4
"Burland and Burbidge (1982, 1985)",20,4,1.6,0.5,97,6.1
"Burland and Burbidge (1982, 1985)",50,1.5,1,0.4,150,1
"Burland and Burbidge (1982, 1985)",17,5.3,9.9,0.49,121,12
"Burland and Burbidge (1982, 1985)",25,1,1,3,196,6
"Burland and Burbidge (1982, 1985)",20,4.3,1,0.49,102,7.1
"Burland and Burbidge (1982, 1985)",30,21.7,5.3,0.14,148,19.8
"Burland and Burbidge (1982, 1985)",34,1,1,0,220,3.6
"Burland and Burbidge (1982, 1985)",16,2.5,1.1,0,245,11
"Burland and Burbidge (1982, 1985)",37,4,1,1.3,512,12.8
"Burland and Burbidge (1982, 1985)",13,1.5,1,0.8,77,1.3
"Burland and Burbidge (1982, 1985)",28,3.6,4.4,0,193,18
"Burland and Burbidge (1982, 1985)",6,14.5,1,0.07,74,75
"Burland and Burbidge (1982, 1985)",20,4,1.6,0.5,225,9.1
"Burland and Burbidge (1982, 1985)",20,6.4,1.6,0.5,150,14.5
"Burland and Burbidge (1982, 1985)",20,4.3,1.6,0.49,138,7.1
"Burland and Burbidge (1982, 1985)",20,4.9,1.6,0.47,123,6.6
"Burland and Burbidge (1982, 1985)",50,1.2,1,0.42,300,4.5
"Burland and Burbidge (1982, 1985)",20,4.9,1.6,0.47,107,3.6
"Burland and Burbidge (1982, 1985)",12,3.8,3.2,0.39,90,15.5
"Burland and Burbidge (1982, 1985)",20,4.1,1,1,125,17.8
"Burland and Burbidge (1982, 1985)",18,2.5,1,0.3,576,25
"Burland and Burbidge (1982, 1985)",20,4.9,1.6,0.47,182,13.8
"Burland and Burbidge (1982, 1985)",18,3,1,0.29,500,25
"Burland and Burbidge (1982, 1985)",32,4,1.8,1.3,508,11.9
"Burland and Burbidge (1982, 1985)",20,4.9,1.7,0.31,112,7.4
"Burland and Burbidge (1982, 1985)",20,4.9,1.6,0.47,113,8.9
"Burland and Burbidge (1982, 1985)",20,4.3,1.6,0.49,134,10.2
"Burland and Burbidge (1982, 1985)",20,4.9,1.6,0.47,102,6.9
"Burland and Burbidge (1982, 1985)",42,6,2.7,0.6,215,4.1
"Burland and Burbidge (1982, 1985)",18,1.5,1,0.51,666,25
"Burland and Burbidge (1982, 1985)",20,5.5,1.6,0.47,139,9.4
"Burland and Burbidge (1982, 1985)",53,12.2,1,0.25,181,9.6
"Burland and Burbidge (1982, 1985)",7,3.3,4.4,0.61,99,37.1
"Burland and Burbidge (1982, 1985)",6,25,1,0.08,63,84
"Burland and Burbidge (1982, 1985)",20,3.7,1.6,0.49,252,16.5
"Burland and Burbidge (1982, 1985)",23,6.1,5,1.1,144,11.7
"Burland and Burbidge (1982, 1985)",42,6,2.7,0.47,158,7.9
"Burland and Burbidge (1982, 1985)",12,16,1.3,0.09,70,90
"Burland and Burbidge (1982, 1985)",34,3.4,6.7,0,81,10.7
"Burland and Burbidge (1982, 1985)",20,4.3,1.6,0.49,177,8.1
"Burland and Burbidge (1982, 1985)",18,3,1,0.25,500,25
"Burland and Burbidge (1982, 1985)",60,55,1.8,0.18,234,25
"Burland and Burbidge (1982, 1985)",11,9,8,0.5,115,25
"Burland and Burbidge (1982, 1985)",6,25,1,0.08,76,85
"Burland and Burbidge (1982, 1985)",20,3.7,1.6,0.49,225,7.4
"Burland and Burbidge (1982, 1985)",20,15,1.3,0,148,40
"Burland and Burbidge (1982, 1985)",20,15.2,1,0.02,33,2.8
"Burland and Burbidge (1982, 1985)",55,15,1.7,0.4,136,16.2
"Burland and Burbidge (1982, 1985)",18,6.4,1,0.23,101,7.1
"Burland and Burbidge (1982, 1985)",19,5.1,3.1,0.24,117,19.3
"Burland and Burbidge (1982, 1985)",8,2.3,1.1,1.02,400,43
"Burland and Burbidge (1982, 1985)",9,2.6,8.1,0.77,196,33
Wahls (1997),58,5.2,3.7,0,127.8,17
Wahls (1997),42,5.2,1,0.44,95.8,9.9
Wahls (1997),22,4.9,1.8,0.3,118.7,6.4
Wahls (1997),18,6.4,1.45,0.23,71.8,6.6
Wahls (1997),16,16.2,1.6,0.29,139,15
Wahls (1997),20,22.5,2.9,0.44,221,21
Wahls (1997),42,5.1,4.6,0.35,114.9,5.8
Wahls (1997),22,5.2,1,0.96,134,14.7
Wahls (1997),39,6.6,2,0,168.1,15.5
Wahls (1997),20,4.3,1.6,0.49,145,11
Wahls (1997),44,5.2,3.7,0,1532,8.9
Wahls (1997),49,4.9,2.8,0,161.4,7.1
Wahls (1997),24,5,1.7,0.5,181.9,11.9
Wahls (1997),20,3.4,1,1.5,129,11.5
Wahls (1997),24,11,3,0.45,120,19.6
Wahls (1997),20,3.7,1.59,0.49,215,15
Wahls (1997),25,13.1,1.8,0.23,47.6,3.6
Wahls (1997),24,8.5,1,0,102.5,16.3
Wahls (1997),16,1,1,0,247.5,9.9
Wahls (1997),20,3.7,1.59,0.49,215,6.4
Wahls (1997),22,5.6,4.3,0.27,112,15.5
Wahls (1997),24,4.6,5,0.43,112,11.2
Wahls (1997),38,6.1,5,0.25,155.6,16.8
Wahls (1997),39,4.6,4.5,0.59,85.7,21.1
Wahls (1997),42,7,5.1,0.33,131.2,11.9
Wahls (1997),20,3.7,1.6,0.49,279,8.6
Wahls (1997),22,2.4,1.6,1.9,190,8.5
Wahls (1997),43,4.6,3.5,0,111.1,23.9
Wahls (1997),50,3,3.3,1,230.8,21.1
Wahls (1997),21,25.5,1,0.1,175,25
